Name,Author,Description,Inspired by,Music style,Created on,Demo,# votes,Rating,Amp style,Tap,PowerLevel,Edit2,Edit3,Volume,Treble,Middle,Bass,Effect2,Master,Gain,Edit1,Effect1,Red-Green,Edit2Hold,TapOnOff,AmpPower,Original order
RAMONES – Blitzkrieg bop,caripu,"Nice 70's tone to play one of my ever favs, Ramones. Bridge single coil pickup (splitted HB) at full tone and 9 volume knob.","Ramones, Blitzkrieg Bop",Punk Rock ,22/05/2011,,0,,7,10,10,0,45,51,58,100,38,1,65,43,17,1,1,1,0,40,259
IRON MAIDEN – Hallowed de thy name,caripu,"Intended to play at home, so low power knob setting :( Ibanez SA-260 with bridge pickup in single coil position (splitted), tone at max, volume at 85%.","Iron Maiden, Hallowed Be Thy name",Heavy Metal ,22/05/2011,,0,,9,10,10,0,12,49,52,64,62,1,63,66,31,1,2,1,0,40,260
sweet chil of mine,mrmdm86,Yo uso el mic del ciapason con el volumen como en el 7 y el tono entre el 6 y el 7,"Guns and Roses, appetite for destruction",Hard Rock ,22/05/2011,,0,,8,10,0,0,48,58,26,81,90,1,1,43,0,1,1,1,0,80,261
my lead guitar tone,millar16,i use this tone just when im messing about its fun and has a great feel,"Joe Satriani, mystical potato",lead ,26/04/2011,,0,,11,10,50,0,0,100,49,67,50,1,50,100,0,1,3,1,0,80,263
crazy echo,napalmrain,"adjust the gain to your liking, i keep some tube overdrive on but its not necessary. Adjust master to your liking too, i play in a dorm so i need to keep it low. PICK A LOT AND REPEAT NOTES FOR FULL EFFECT",-,psychadelic prog ,04/03/2011,,0,,6,10,50,100,99,100,80,46,64,9,10,30,37,7,3,2,0,40,272
Acoustic sound for Romeo and Juliet,thimpt,Use capo on third fret and this tuning: D.A.D.G.B.D,"Dire Straits, Romeo and Juliet from Money for Nothing",Pop/Rock ,27/02/2011,http://www.youtube.com/watch?v=p3RO7KzJ1J8,0,,6,10,37,0,83,30,50,52,32,1,34,63,50,2,2,1,0,80,274
U2 - Bad-Pride,nicholasroberts,just play around with the delay a bit,"U2, BadPride",Delay AC30 ,18/02/2011,,0,,6,10,34,0,44,100,50,48,37,10,81,40,0,1,2,0,0,20,276
Guitar Solo Musicom,vintagevacuumtube,Use single coils and play with tone controls to get that creamy sweet tone in Eric Johnson style,-,Guitar Hero ,14/02/2011,,0,,1,4,16,20,46,78,77,73,70,10,48,61,84,11,2,0,0,20,277
John Mayer Wah,red_strat,"Fun John Mayer Wah, Adjust Master and Power level to suit...Adjust volume on guitar to get less or more wah. Finger pick it.","John Mayer, I Dont Trust Myself - Where the Light is Live in Los Angeles",WAH ,06/02/2011,,0,,4,10,11,4,21,57,40,49,54,10,52,43,36,3,2,50,0,40,278
Avenged Sevenfold Afterlife+Trashed and scattered,jimmypage1995,As close as i can get without useing other effect pedals,"Avenged Sevonfold, City of evil Avenged sevonfold",Metal ,01/02/2011,,0,,8,2,60,6,65,100,100,15,85,10,6,27,100,7,3,1,0,20,279
Testing tone,jampot661,A tone to test different set ups,-,Testie ,25/01/2011,,0,,7,2,40,33,14,31,26,35,28,11,40,22,35,9,1,1,0,40,280
Gilmore – ish,armycopter,You'll need a tube overdrive pedal in front of the amp. Alternately you can use a compression pedal and change the VT20+ pedal to Tube OD,"Pink Floyd,David Gilmore, Comfortably Numb",Lead Rock ,24/01/2011,,0,,7,5,25,51,50,85,45,18,76,10,35,39,51,1,3,1,0,20,283
tone to avoid the hiss sound,jerdix,"works with all amp models. The only thing you have do to is turn treble and middle to zero. So, the only thing to change the tone is the bass-chickenhead and your guitar-knobs.",-,just for testing ,20/01/2011,,0,,6,10,26,0,0,48,0,0,38,1,57,54,0,1,1,1,0,20,287
Clear and Crunchy,joymitra,"Well. Searching desperately to emulate the crunch from Matt Mays's City of Lakes, on youtube. I think he uses a Fender Supersonic.. anyhow.. check it out.","Matt Mays and Springsteen, City of Lakes/Radio Nowhere",Crunch ,16/01/2011,,0,,4,1,50,0,0,98,50,40,53,1,100,43,15,7,1,1,0,40,289
Metaltone/True,running_free,One of my Hammerfall like sounds...try it ;-),"Hammerfall, Let the hammer fall",Metal ,11/01/2011,,0,,9,10,35,0,0,42,90,83,74,1,34,87,0,1,1,1,0,20,297
Yorkish,vox_tom_usa,Thom York-ish sound,-,Rock ,11/01/2011,,0,,6,0,40,43,71,62,42,53,52,7,43,44,0,1,2,100,0,40,298
